46	выглядит	выглядеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@dap1994m-words#@dap1994m#14.746#15.017
47	как	как	SCONJ	_	_	_	_	_	@dap1994m-words#@dap1994m#15.017#15.288
48	ээ	ээ	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#15.288#15.564
49	ну	ну	PART	_	_	_	_	_	@dap1994m-words#@dap1994m#16.23#16.521
50	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#16.521#16.812
51	блять	блять	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@dap1994m-words#@dap1994m#16.812#17.103
52	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#17.103#17.394
53	ээ	ээ	INTJ	_	_	_	_	_	@dap1994m-words#@dap1994m#17.394#17.685
54	знаешь	знать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@dap1994m-words#@dap1994m#17.685#17.976
55	как	как	SCONJ	_	_	_	_	_	@dap1994m-words#@dap1994m#17.976#18.267
56	Хогвартс	Хогвартс	PROPN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#18.267#18.558
57	ебаный	ебаный	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#18.558#18.849
58	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#18.849#19.14
59	вот	вот	PART	_	_	_	_	_	@dap1994m-words#@dap1994m#19.14#19.431
60	мир	мир	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#19.431#19.722
61	моды	мода	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#19.722#20.013
62	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#20.013#20.304
63	подиумов	подиум	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	_	_	_	@dap1994m-words#@dap1994m#20.304#20.595
64	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#20.595#20.886
65	вот	вот	PART	_	_	_	_	_	@dap1994m-words#@dap1994m#20.886#21.177
66	эта	этот	DET	_	Case=Nom|Gender=Fem|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#21.177#21.468
67	вся	весь	DET	_	Case=Nom|Gender=Fem|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#21.468#21.759
68	история	история	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#21.759#22.051
69	насколько	насколько	ADV	_	Degree=Pos	_	_	_	@dap1994m-words#@dap1994m#22.692#22.974
70	эм	эй	ADJ	_	Case=Ins|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@dap1994m-words#@dap1994m#22.974#23.256
71	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#23.256#23.538
72	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#23.538#23.82
73	скажем	сказать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	@dap1994m-words#@dap1994m#25.423#25.692
74	так	так	ADV	_	Degree=Pos	_	_	_	@dap1994m-words#@dap1994m#25.692#25.961
75	комфортно	комфортно	ADV	_	Degree=Pos	_	_	_	@dap1994m-words#@dap1994m#27.397#27.679
76	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@dap1994m-words#@dap1994m#27.679#27.961
77	себя	себя	PRON	_	Case=Acc	_	_	_	@dap1994m-words#@dap1994m#27.961#28.243
78	чувствуешь	чувствовать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@dap1994m-words#@dap1994m#28.243#28.525
79	вот	вот	PART	_	_	_	_	_	@dap1994m-words#@dap1994m#28.525#28.807
80	/	/	PUNCT	_	_	_	_	_	@dap1994m-words#@dap1994m#28.807#29.089
81	эээ	эээ	INTJ	_	_	_	_	_	@dap1994m-words#@dap1994m#29.089#29.371
